00,0,0.258282,1
ff,255,0.258282,2
fb,251,0.200858,3
04,4,0.200858,4
01,1,0.195970,5
fe,254,0.195970,6
80,128,0.195671,7
7f,127,0.195671,8
bf,191,0.193976,9
40,64,0.193976,10
ef,239,0.192991,11
10,16,0.192991,12
08,8,0.190841,13
f7,247,0.190841,14
df,223,0.190746,15
20,32,0.190746,16
fd,253,0.188758,17
02,2,0.188758,18
fa,250,0.138697,19
05,5,0.138697,20
84,132,0.137697,21
7b,123,0.137697,22
14,20,0.137551,23
eb,235,0.137551,24
44,68,0.136571,25
bb,187,0.136571,26
0c,12,0.133702,27
f3,243,0.133702,28
db,219,0.133655,29
24,36,0.133655,30
7e,126,0.132745,31
81,129,0.132745,32
41,65,0.132545,33
be,190,0.132545,34
ee,238,0.131395,35
11,17,0.131395,36
6f,111,0.131154,37
90,144,0.131154,38
3f,63,0.130739,39
c0,192,0.130739,40
de,222,0.129747,41
21,33,0.129747,42
50,80,0.129233,43
af,175,0.129233,44
f9,249,0.128801,45
06,6,0.128801,46
a0,160,0.128352,47
5f,95,0.128352,48
60,96,0.127863,49
9f,159,0.127863,50
77,119,0.127821,51
88,136,0.127821,52
48,72,0.127596,53
b7,183,0.127596,54
30,48,0.127158,55
cf,207,0.127158,56
f6,246,0.126859,57
09,9,0.126859,58
03,3,0.126160,59
fc,252,0.126160,60
e7,231,0.125799,61
18,24,0.125799,62
bd,189,0.123968,63
42,66,0.123968,64
7d,125,0.123933,65
82,130,0.123933,66
ed,237,0.123307,67
12,18,0.123307,68
28,40,0.122522,69
d7,215,0.122522,70
22,34,0.121632,71
dd,221,0.121632,72
0a,10,0.119143,73
f5,245,0.119143,74
75,117,0.080986,75
8a,138,0.080986,76
ea,234,0.075323,77
15,21,0.075323,78
85,133,0.075114,79
7a,122,0.075114,80
45,69,0.075086,81
ba,186,0.075086,82
65,101,0.074648,83
9a,154,0.074648,84
6b,107,0.074362,85
94,148,0.074362,86
54,84,0.073335,87
ab,171,0.073335,88
c4,196,0.073244,89
3b,59,0.073244,90
da,218,0.072417,91
25,37,0.072417,92
cb,203,0.071065,93
34,52,0.071065,94
5b,91,0.070808,95
a4,164,0.070808,96
9b,155,0.070627,97
64,100,0.070627,98
f2,242,0.070118,99
0d,13,0.070118,100
8b,139,0.069809,101
74,116,0.069809,102
73,115,0.069807,103
8c,140,0.069807,104
b3,179,0.069773,105
4c,76,0.069773,106
e3,227,0.069614,107
1c,28,0.069614,108
c1,193,0.068877,109
3e,62,0.068877,110
91,145,0.068812,111
6e,110,0.068812,112
51,81,0.068341,113
ae,174,0.068341,114
f8,248,0.066985,115
07,7,0.066985,116
2f,47,0.066944,117
d0,208,0.066944,118
aa,170,0.066914,119
55,85,0.066914,120
61,97,0.066766,121
9e,158,0.066766,122
5e,94,0.066484,123
a1,161,0.066484,124
ce,206,0.066117,125
31,49,0.066117,126
2c,44,0.065843,127
d3,211,0.065843,128
16,22,0.065501,129
e9,233,0.065501,130
46,70,0.065083,131
b9,185,0.065083,132
79,121,0.064972,133
86,134,0.064972,134
4f,79,0.064912,135
b0,176,0.064912,136
1f,31,0.064774,137
e0,224,0.064774,138
b6,182,0.064349,139
49,73,0.064349,140
8f,143,0.064327,141
70,112,0.064327,142
