00,0,0.240607,1
ff,255,0.240607,2
df,223,0.195949,3
20,32,0.195949,4
02,2,0.193293,5
fd,253,0.193293,6
08,8,0.182425,7
f7,247,0.182425,8
10,16,0.180680,9
ef,239,0.180680,10
bf,191,0.180306,11
40,64,0.180306,12
01,1,0.171578,13
fe,254,0.171578,14
7f,127,0.169573,15
80,128,0.169573,16
04,4,0.168906,17
fb,251,0.168906,18
dd,221,0.148041,19
22,34,0.148041,20
12,18,0.137090,21
ed,237,0.137090,22
d7,215,0.136905,23
28,40,0.136905,24
0a,10,0.136256,25
f5,245,0.136256,26
60,96,0.135559,27
9f,159,0.135559,28
bd,189,0.135456,29
42,66,0.135456,30
30,48,0.134343,31
cf,207,0.134343,32
21,33,0.124839,33
de,222,0.124839,34
db,219,0.124746,35
24,36,0.124746,36
fc,252,0.124622,37
03,3,0.124622,38
06,6,0.124398,39
f9,249,0.124398,40
50,80,0.122849,41
af,175,0.122849,42
18,24,0.122568,43
e7,231,0.122568,44
82,130,0.122519,45
7d,125,0.122519,46
a0,160,0.121970,47
5f,95,0.121970,48
b7,183,0.120941,49
48,72,0.120941,50
f6,246,0.112956,51
09,9,0.112956,52
0c,12,0.111416,53
f3,243,0.111416,54
44,68,0.110802,55
bb,187,0.110802,56
41,65,0.110640,57
be,190,0.110640,58
14,20,0.110588,59
eb,235,0.110588,60
11,17,0.110519,61
ee,238,0.110519,62
90,144,0.109846,63
6f,111,0.109846,64
77,119,0.109591,65
88,136,0.109591,66
c0,192,0.108560,67
3f,63,0.108560,68
fa,250,0.100077,69
05,5,0.100077,70
84,132,0.098318,71
7b,123,0.098318,72
7e,126,0.097873,73
81,129,0.097873,74
2a,42,0.090289,75
d5,213,0.090289,76
32,50,0.090128,77
cd,205,0.090128,78
62,98,0.089923,79
9d,157,0.089923,80
52,82,0.079599,81
ad,173,0.079599,82
26,38,0.079387,83
d9,217,0.079387,84
e5,229,0.078970,85
1a,26,0.078970,86
dc,220,0.078002,87
23,35,0.078002,88
b5,181,0.077018,89
4a,74,0.077018,90
70,112,0.076304,91
8f,143,0.076304,92
c7,199,0.075987,93
38,56,0.075987,94
97,151,0.075656,95
68,104,0.075656,96
a2,162,0.075398,97
5d,93,0.075398,98
e9,233,0.067953,99
16,22,0.067953,100
f1,241,0.067273,101
0e,14,0.067273,102
46,70,0.067259,103
b9,185,0.067259,104
0b,11,0.066791,105
f4,244,0.066791,106
ec,236,0.066568,107
13,19,0.066568,108
d3,211,0.066004,109
2c,44,0.066004,110
bc,188,0.065807,111
43,67,0.065807,112
9b,155,0.065747,113
64,100,0.065747,114
d6,214,0.065412,115
29,41,0.065412,116
6d,109,0.065242,117
92,146,0.065242,118
34,52,0.065065,119
cb,203,0.065065,120
9e,158,0.064168,121
61,97,0.064168,122
75,117,0.063906,123
8a,138,0.063906,124
3d,61,0.063658,125
c2,194,0.063658,126
31,49,0.063572,127
ce,206,0.063572,128
a7,167,0.063507,129
58,88,0.063507,130
a8,168,0.062104,131
57,87,0.062104,132
4f,79,0.061857,133
b0,176,0.061857,134
e0,224,0.061627,135
1f,31,0.061627,136
07,7,0.055454,137
f8,248,0.055454,138
da,218,0.053864,139
25,37,0.053864,140
54,84,0.053486,141
ab,171,0.053486,142
86,134,0.053483,143
79,121,0.053483,144
