00,0,0.239243,1
ff,255,0.239243,2
01,1,0.186245,3
fe,254,0.186245,4
04,4,0.185226,5
fb,251,0.185226,6
02,2,0.184062,7
fd,253,0.184062,8
20,32,0.181503,9
df,223,0.181503,10
bf,191,0.179429,11
40,64,0.179429,12
ef,239,0.172735,13
10,16,0.172735,14
f7,247,0.168304,15
08,8,0.168304,16
7f,127,0.163225,17
80,128,0.163225,18
03,3,0.134355,19
fc,252,0.134355,20
05,5,0.132913,21
fa,250,0.132913,22
f9,249,0.130707,23
06,6,0.130707,24
24,36,0.129795,25
db,219,0.129795,26
dd,221,0.129010,27
22,34,0.129010,28
21,33,0.128928,29
de,222,0.128928,30
be,190,0.127641,31
41,65,0.127641,32
bb,187,0.125585,33
44,68,0.125585,34
bd,189,0.124273,35
42,66,0.124273,36
14,20,0.123060,37
eb,235,0.123060,38
9f,159,0.122582,39
60,96,0.122582,40
11,17,0.121530,41
ee,238,0.121530,42
12,18,0.121257,43
ed,237,0.121257,44
09,9,0.116869,45
f6,246,0.116869,46
cf,207,0.116344,47
30,48,0.116344,48
f3,243,0.116144,49
0c,12,0.116144,50
af,175,0.114928,51
50,80,0.114928,52
f5,245,0.114646,53
0a,10,0.114646,54
28,40,0.113125,55
d7,215,0.113125,56
7e,126,0.110221,57
81,129,0.110221,58
84,132,0.109766,59
7b,123,0.109766,60
b7,183,0.109622,61
48,72,0.109622,62
82,130,0.109615,63
7d,125,0.109615,64
e7,231,0.106635,65
18,24,0.106635,66
5f,95,0.105399,67
a0,160,0.105399,68
3f,63,0.103371,69
c0,192,0.103371,70
90,144,0.099001,71
6f,111,0.099001,72
88,136,0.093723,73
77,119,0.093723,74
07,7,0.081094,75
f8,248,0.081094,76
dc,220,0.078386,77
23,35,0.078386,78
25,37,0.077617,79
da,218,0.077617,80
d9,217,0.077063,81
26,38,0.077063,82
43,67,0.074828,83
bc,188,0.074828,84
45,69,0.074440,85
ba,186,0.074440,86
b9,185,0.071946,87
46,70,0.071946,88
ec,236,0.071639,89
13,19,0.071639,90
ea,234,0.071598,91
15,21,0.071598,92
9e,158,0.070917,93
61,97,0.070917,94
16,22,0.070853,95
e9,233,0.070853,96
9b,155,0.070508,97
64,100,0.070508,98
9d,157,0.069679,99
62,98,0.069679,100
34,52,0.067479,101
cb,203,0.067479,102
cd,205,0.066403,103
32,50,0.066403,104
ce,206,0.066027,105
31,49,0.066027,106
0b,11,0.065363,107
f4,244,0.065363,108
f2,242,0.065243,109
0d,13,0.065243,110
ae,174,0.064335,111
51,81,0.064335,112
ab,171,0.064326,113
54,84,0.064326,114
0e,14,0.063450,115
f1,241,0.063450,116
52,82,0.063004,117
ad,173,0.063004,118
d3,211,0.061930,119
2c,44,0.061930,120
29,41,0.061725,121
d6,214,0.061725,122
2a,42,0.061009,123
d5,213,0.061009,124
8f,143,0.059335,125
70,112,0.059335,126
b6,182,0.058819,127
49,73,0.058819,128
7c,124,0.058658,129
83,131,0.058658,130
7a,122,0.057879,131
85,133,0.057879,132
4c,76,0.057681,133
b3,179,0.057681,134
79,121,0.056971,135
86,134,0.056971,136
4a,74,0.056577,137
b5,181,0.056577,138
e3,227,0.056328,139
1c,28,0.056328,140
e6,230,0.055835,141
19,25,0.055835,142
e5,229,0.054979,143
1a,26,0.054979,144
68,104,0.054543,145
97,151,0.054543,146
a4,164,0.053909,147
5b,91,0.053909,148
5d,93,0.053702,149
a2,162,0.053702,150
5e,94,0.053666,151
a1,161,0.053666,152
38,56,0.051456,153
c7,199,0.051456,154
3e,62,0.051431,155
c1,193,0.051431,156
c4,196,0.050483,157
3b,59,0.050483,158
c2,194,0.050043,159
3d,61,0.050043,160
a7,167,0.048515,161
58,88,0.048515,162
94,148,0.048326,163
6b,107,0.048326,164
91,145,0.047860,165
6e,110,0.047860,166
6d,109,0.047681,167
92,146,0.047681,168
1f,31,0.046648,169
e0,224,0.046648,170
b4,180,0.045756,171
4b,75,0.045756,172
3c,60,0.043805,173
c3,195,0.043805,174
b0,176,0.043110,175
4f,79,0.043110,176
89,137,0.042310,177
76,118,0.042310,178
63,99,0.042192,179
9c,156,0.042192,180
74,116,0.042089,181
8b,139,0.042089,182
73,115,0.041877,183
8c,140,0.041877,184
8a,138,0.041349,185
75,117,0.041349,186
d0,208,0.040689,187
2f,47,0.040689,188
d4,212,0.040623,189
2b,43,0.040623,190
a8,168,0.038053,191
57,87,0.038053,192
5c,92,0.038013,193
a3,163,0.038013,194
53,83,0.037102,195
ac,172,0.037102,196
2e,46,0.036605,197
d1,209,0.036605,198
e4,228,0.035920,199
1b,27,0.035920,200
8d,141,0.035758,201
72,114,0.035758,202
37,55,0.034824,203
c8,200,0.034824,204
b1,177,0.034209,205
4e,78,0.034209,206
6c,108,0.033318,207
93,147,0.033318,208
b8,184,0.032699,209
47,71,0.032699,210
67,103,0.032466,211
98,152,0.032466,212
99,153,0.031592,213
66,102,0.031592,214
33,51,0.031281,215
cc,204,0.031281,216
d8,216,0.031180,217
27,39,0.031180,218
0f,15,0.029006,219
f0,240,0.029006,220
56,86,0.028268,221
a9,169,0.028268,222
e8,232,0.027881,223
17,23,0.027881,224
ca,202,0.027620,225
35,53,0.027620,226
a6,166,0.027482,227
59,89,0.027482,228
c6,198,0.025422,229
39,57,0.025422,230
d2,210,0.025209,231
2d,45,0.025209,232
71,113,0.024328,233
8e,142,0.024328,234
c9,201,0.023481,235
36,54,0.023481,236
96,150,0.021864,237
69,105,0.021864,238
1d,29,0.021147,239
e2,226,0.021147,240
65,101,0.020825,241
9a,154,0.020825,242
1e,30,0.020503,243
e1,225,0.020503,244
87,135,0.020375,245
78,120,0.020375,246
b2,178,0.019021,247
4d,77,0.019021,248
aa,170,0.018961,249
55,85,0.018961,250
6a,106,0.018482,251
95,149,0.018482,252
c5,197,0.015557,253
3a,58,0.015557,254
5a,90,0.014046,255
a5,165,0.014046,256
