00,0,0.241511,1
ff,255,0.241511,2
bf,191,0.200195,3
40,64,0.200195,4
02,2,0.197906,5
fd,253,0.197906,6
f7,247,0.183761,7
08,8,0.183761,8
df,223,0.182877,9
20,32,0.182877,10
7f,127,0.180930,11
80,128,0.180930,12
fe,254,0.178397,13
01,1,0.178397,14
fb,251,0.170562,15
04,4,0.170562,16
10,16,0.164271,17
ef,239,0.164271,18
bd,189,0.156306,19
42,66,0.156306,20
60,96,0.143809,21
9f,159,0.143809,22
48,72,0.141281,23
b7,183,0.141281,24
c0,192,0.139160,25
3f,63,0.139160,26
f5,245,0.139101,27
0a,10,0.139101,28
22,34,0.137911,29
dd,221,0.137911,30
82,130,0.136206,31
7d,125,0.136206,32
fc,252,0.134747,33
03,3,0.134747,34
41,65,0.134570,35
be,190,0.134570,36
bb,187,0.128048,37
44,68,0.128048,38
f9,249,0.125425,39
06,6,0.125425,40
28,40,0.124647,41
d7,215,0.124647,42
88,136,0.123246,43
77,119,0.123246,44
a0,160,0.122368,45
5f,95,0.122368,46
af,175,0.121907,47
50,80,0.121907,48
09,9,0.119881,49
f6,246,0.119881,50
81,129,0.118388,51
7e,126,0.118388,52
12,18,0.118323,53
ed,237,0.118323,54
21,33,0.117755,55
de,222,0.117755,56
f3,243,0.111778,57
0c,12,0.111778,58
84,132,0.110297,59
7b,123,0.110297,60
db,219,0.109189,61
24,36,0.109189,62
fa,250,0.107371,63
05,5,0.107371,64
e7,231,0.105125,65
18,24,0.105125,66
30,48,0.103011,67
cf,207,0.103011,68
90,144,0.101449,69
6f,111,0.101449,70
ee,238,0.098419,71
11,17,0.098419,72
9d,157,0.097771,73
62,98,0.097771,74
b5,181,0.096608,75
4a,74,0.096608,76
c2,194,0.094350,77
3d,61,0.094350,78
eb,235,0.091201,79
14,20,0.091201,80
bc,188,0.090905,81
43,67,0.090905,82
68,104,0.083514,83
97,151,0.083514,84
46,70,0.082931,85
b9,185,0.082931,86
e0,224,0.081614,87
1f,31,0.081614,88
c8,200,0.080679,89
37,55,0.080679,90
2a,42,0.078949,91
d5,213,0.078949,92
8a,138,0.077826,93
75,117,0.077826,94
a2,162,0.076640,95
5d,93,0.076640,96
49,73,0.076148,97
b6,182,0.076148,98
61,97,0.076116,99
9e,158,0.076116,100
ad,173,0.075833,101
52,82,0.075833,102
f4,244,0.075037,103
0b,11,0.075037,104
3e,62,0.074781,105
c1,193,0.074781,106
83,131,0.073212,107
7c,124,0.073212,108
dc,220,0.073049,109
23,35,0.073049,110
b3,179,0.068892,111
4c,76,0.068892,112
9b,155,0.068401,113
64,100,0.068401,114
3b,59,0.067490,115
c4,196,0.067490,116
0e,14,0.066176,117
f1,241,0.066176,118
86,134,0.064380,119
79,121,0.064380,120
26,38,0.063976,121
d9,217,0.063976,122
a8,168,0.063776,123
57,87,0.063776,124
45,69,0.063321,125
ba,186,0.063321,126
58,88,0.061979,127
a7,167,0.061979,128
8f,143,0.061683,129
70,112,0.061683,130
07,7,0.061676,131
f8,248,0.061676,132
76,118,0.059404,133
89,137,0.059404,134
d6,214,0.059269,135
29,41,0.059269,136
2f,47,0.059243,137
d0,208,0.059243,138
1a,26,0.058718,139
e5,229,0.058718,140
5e,94,0.057689,141
a1,161,0.057689,142
cd,205,0.056821,143
32,50,0.056821,144
6d,109,0.055712,145
92,146,0.055712,146
51,81,0.055091,147
ae,174,0.055091,148
ec,236,0.052827,149
13,19,0.052827,150
73,115,0.051209,151
8c,140,0.051209,152
2c,44,0.050898,153
d3,211,0.050898,154
5b,91,0.049296,155
a4,164,0.049296,156
54,84,0.048043,157
ab,171,0.048043,158
0d,13,0.047540,159
f2,242,0.047540,160
85,133,0.046200,161
7a,122,0.046200,162
47,71,0.045626,163
b8,184,0.045626,164
da,218,0.045173,165
25,37,0.045173,166
a9,169,0.044812,167
56,86,0.044812,168
16,22,0.044647,169
e9,233,0.044647,170
38,56,0.043739,171
c7,199,0.043739,172
98,152,0.042835,173
67,103,0.042835,174
4f,79,0.041184,175
b0,176,0.041184,176
19,25,0.039111,177
e6,230,0.039111,178
ac,172,0.038812,179
53,83,0.038812,180
31,49,0.037077,181
ce,206,0.037077,182
95,149,0.037009,183
6a,106,0.037009,184
6e,110,0.036871,185
91,145,0.036871,186
ea,234,0.036745,187
15,21,0.036745,188
ca,202,0.036476,189
35,53,0.036476,190
aa,170,0.036212,191
55,85,0.036212,192
e8,232,0.035940,193
17,23,0.035940,194
1d,29,0.034993,195
e2,226,0.034993,196
33,51,0.033789,197
cc,204,0.033789,198
4b,75,0.031608,199
b4,180,0.031608,200
e3,227,0.031259,201
1c,28,0.031259,202
9c,156,0.031213,203
63,99,0.031213,204
72,114,0.030812,205
8d,141,0.030812,206
3c,60,0.029847,207
c3,195,0.029847,208
34,52,0.029184,209
cb,203,0.029184,210
94,148,0.029075,211
6b,107,0.029075,212
d2,210,0.028732,213
2d,45,0.028732,214
4e,78,0.028036,215
b1,177,0.028036,216
96,150,0.026462,217
69,105,0.026462,218
6c,108,0.026125,219
93,147,0.026125,220
b2,178,0.025652,221
4d,77,0.025652,222
c6,198,0.025591,223
39,57,0.025591,224
5a,90,0.025255,225
a5,165,0.025255,226
36,54,0.024558,227
c9,201,0.024558,228
c5,197,0.024318,229
3a,58,0.024318,230
e4,228,0.023752,231
1b,27,0.023752,232
87,135,0.023253,233
78,120,0.023253,234
99,153,0.022439,235
66,102,0.022439,236
65,101,0.020722,237
9a,154,0.020722,238
27,39,0.020637,239
d8,216,0.020637,240
a6,166,0.019443,241
59,89,0.019443,242
2e,46,0.017998,243
d1,209,0.017998,244
d4,212,0.017855,245
2b,43,0.017855,246
0f,15,0.016136,247
f0,240,0.016136,248
71,113,0.015909,249
8e,142,0.015909,250
5c,92,0.015892,251
a3,163,0.015892,252
1e,30,0.015435,253
e1,225,0.015435,254
74,116,0.013391,255
8b,139,0.013391,256
